0,0,0,0,0
0.001,500000,500,0.25,8.33333e-05
0.002,500000,1000,1,0.000666667
0.003,500000,1500,2.25,0.00225
0.004,500000,2000,4,0.00533333
0.005,500000,2500,6.25,0.0104167
0.006,500000,3000,9,0.018
0.007,500000,3500,12.25,0.0285833
0.008,500000,4000,16,0.0426667
0.009,500000,4500,20.25,0.06075
0.01,500000,5000,25,0.0833334
0.011,500000,5500,30.25,0.110917
0.012,500000,6000,36,0.144
0.013,500000,6500,42.25,0.183083
0.014,500000,7000,49,0.228667
0.015,500000,7500,56.25,0.28125
0.016,500000,8000,64,0.341333
0.017,500000,8500,72.25,0.409417
0.018,500000,9000,81,0.486
0.019,500000,9500,90.25,0.571583
0.02,500000,10000,100,0.666667
0.021,500000,10500,110.25,0.77175
0.022,500000,11000,121,0.887334
0.023,500000,11500,132.25,1.01392
0.024,0,12000,144,1.152
0.025,0,12000,156,1.302
0.026,0,12000,168,1.464
0.027,0,12000,180,1.638
0.028,0,12000,192,1.824
0.029,0,12000,204,2.022
0.03,0,12000,216,2.232
0.031,0,12000,228,2.454
0.032,0,12000,240,2.688
0.033,0,12000,252,2.934
0.034,0,12000,264,3.192
0.035,0,12000,276,3.462
0.036,0,12000,288,3.744
0.037,0,12000,300,4.038
0.038,0,12000,312,4.344
0.039,0,12000,324,4.662
0.04,0,12000,336,4.992
0.041,0,12000,348,5.334
0.042,0,12000,360,5.68799
0.043,0,12000,372,6.05399
0.044,0,12000,384,6.43199
0.045,0,12000,396,6.82199
0.046,0,12000,408,7.22399
0.047,0,12000,420,7.63799
0.048,0,12000,432,8.06399
0.049,0,12000,444,8.50199
0.05,0,12000,456,8.95199
0.051,0,12000,468,9.41399
0.052,0,12000,480,9.88798
0.053,0,12000,492,10.374
0.054,0,12000,504,10.872
0.055,0,12000,516,11.382
0.056,0,12000,528,11.904
0.057,0,12000,540,12.438
0.058,0,12000,552,12.984
0.059,0,12000,563.999,13.542
0.06,0,12000,575.999,14.112
0.061,0,12000,587.999,14.694
0.062,0,12000,599.999,15.288
0.0629999,0,12000,611.999,15.894
0.064,0,12000,623.999,16.512
0.065,0,12000,635.999,17.142
0.066,0,12000,647.999,17.784
0.067,0,12000,659.999,18.438
0.068,0,12000,672,19.104
0.069,0,12000,684,19.782
0.07,0,12000,696,20.472
0.071,0,12000,708,21.174
0.072,0,12000,720,21.888
0.073,0,12000,732,22.614
0.074,0,12000,744,23.352
0.075,0,12000,756,24.102
0.076,0,12000,768,24.864
